date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-01-03,sh.600178,6.1143728800,2,0.470400,1,1.986800,0
2023-01-04,sh.600178,6.1540766000,2,0.568600,1,0.649400,0
2023-01-05,sh.600178,6.1739284600,2,0.411800,1,0.322600,0
2023-01-06,sh.600178,6.1838543900,2,0.674000,1,0.160800,0
2023-01-09,sh.600178,6.2136321800,2,0.651500,1,0.481500,0
2023-01-10,sh.600178,6.2037062500,2,0.493600,1,-0.159700,0
2023-01-11,sh.600178,6.1441506700,2,0.498800,1,-0.960000,0
2023-01-12,sh.600178,6.1540766000,2,0.565100,1,0.161600,0
2023-01-13,sh.600178,6.1838543900,2,0.490000,1,0.483900,0
2023-01-16,sh.600178,6.2632618300,2,0.548100,1,1.284100,0
2023-01-17,sh.600178,6.2632618300,2,0.623900,1,0.000000,0
2023-01-18,sh.600178,6.3426692700,2,0.633100,1,1.267800,0
2023-01-19,sh.600178,6.4121507800,2,0.576500,1,1.095500,0
2023-01-20,sh.600178,6.5213360100,2,0.812500,1,1.702800,0
2023-01-30,sh.600178,6.6205953100,2,1.581800,1,1.522100,0
2023-01-31,sh.600178,6.6900768200,2,1.276400,1,1.049500,0
2023-02-01,sh.600178,6.7297805400,2,1.146400,1,0.593500,0
2023-02-02,sh.600178,6.7297805400,2,1.121600,1,0.000000,0
2023-02-03,sh.600178,6.7297805400,2,1.095900,1,0.000000,0
2023-02-06,sh.600178,6.6801508900,2,0.688600,1,-0.737500,0
2023-02-07,sh.600178,6.7397064700,2,0.725800,1,0.891500,0
2023-02-08,sh.600178,6.7496324000,2,0.961800,1,0.147300,0
2023-02-09,sh.600178,6.7893361200,2,0.766000,1,0.588200,0
2023-02-10,sh.600178,6.7893361200,2,0.610300,1,0.000000,0
2023-02-13,sh.600178,6.8885954200,2,1.175500,1,1.462000,0
2023-02-14,sh.600178,6.8488917000,2,0.775000,1,-0.576400,0
2023-02-15,sh.600178,6.8588176300,2,0.544200,1,0.144900,0
2023-02-16,sh.600178,6.7000027500,2,1.062700,1,-2.315500,0
2023-02-17,sh.600178,6.7794101900,2,0.974500,1,1.185200,0
2023-02-20,sh.600178,6.8389657700,2,0.731400,1,0.878500,0
2023-02-21,sh.600178,6.9680028600,2,1.336200,1,1.886800,0
2023-02-22,sh.600178,6.9481510000,2,0.860700,1,-0.284900,0
2023-02-23,sh.600178,7.0771880900,2,1.557900,1,1.857100,0
2023-02-24,sh.600178,6.9779287900,2,1.375500,1,-1.402500,0
2023-02-27,sh.600178,6.9779287900,2,0.938400,1,0.000000,0
2023-02-28,sh.600178,6.9878547200,2,0.637500,1,0.142200,0
2023-03-01,sh.600178,6.9779287900,2,1.178900,1,-0.142000,0
2023-03-02,sh.600178,6.8588176300,2,1.264200,1,-1.707000,0
2023-03-03,sh.600178,6.8588176300,2,0.779800,1,0.000000,0
2023-03-06,sh.600178,6.9084472800,2,0.823300,1,0.723600,0
2023-03-07,sh.600178,6.8091879800,2,0.814700,1,-1.436800,0
2023-03-08,sh.600178,6.8191139100,2,0.669800,1,0.145800,0
2023-03-09,sh.600178,6.7496324000,2,0.584200,1,-1.018900,0
2023-03-10,sh.600178,6.5908175200,2,0.901400,1,-2.352900,0
2023-03-13,sh.600178,6.5213360100,2,0.895600,1,-1.054200,0
2023-03-14,sh.600178,6.3922989200,2,0.856700,1,-1.978700,0
2023-03-15,sh.600178,6.5511138000,2,1.026800,1,2.484500,0
2023-03-16,sh.600178,6.4915582200,2,0.780600,1,-0.909100,0
2023-03-17,sh.600178,6.4518545000,2,0.777700,1,-0.611600,0
2023-03-20,sh.600178,6.5808915900,2,1.002300,1,2.000000,0
2023-03-21,sh.600178,6.5808915900,2,0.681700,1,0.000000,0
2023-03-22,sh.600178,6.5908175200,2,0.601800,1,0.150800,0
2023-03-23,sh.600178,6.5908175200,2,0.636100,1,0.000000,0
2023-03-24,sh.600178,6.5808915900,2,0.696700,1,-0.150600,0
2023-03-27,sh.600178,6.5114100800,2,0.779100,1,-1.055800,0
2023-03-28,sh.600178,6.4816322900,2,1.001000,1,-0.457300,0
2023-03-29,sh.600178,6.5014841500,2,0.854500,1,0.306300,0
2023-03-30,sh.600178,6.4121507800,2,0.635200,1,-1.374000,0
2023-03-31,sh.600178,6.4121507800,2,0.633600,1,0.000000,0
2023-04-03,sh.600178,6.5114100800,2,0.828200,1,1.548000,0
2023-04-04,sh.600178,6.2632618300,2,1.531700,1,-3.811000,0
2023-04-06,sh.600178,6.1838543900,2,1.088300,1,-1.267800,0
2023-04-07,sh.600178,6.2235581100,2,0.657700,1,0.642100,0
2023-04-10,sh.600178,6.1441506700,2,1.208200,1,-1.275900,0
2023-04-11,sh.600178,6.1242988100,2,0.878300,1,-0.323100,0
2023-04-12,sh.600178,6.1540766000,2,0.575200,1,0.486200,0
2023-04-13,sh.600178,6.1540766000,2,0.569500,1,0.000000,0
2023-04-14,sh.600178,6.2136321800,2,0.696000,1,0.967700,0
2023-04-17,sh.600178,6.2533359000,2,0.641100,1,0.639000,0
2023-04-18,sh.600178,6.1838543900,2,0.516300,1,-1.111100,0
2023-04-19,sh.600178,6.1143728800,2,0.543000,1,-1.123600,0
2023-04-20,sh.600178,6.0647432300,2,0.645000,1,-0.811700,0
2023-04-21,sh.600178,6.0250395100,2,0.597400,1,-0.654700,0
2023-04-24,sh.600178,6.0151135800,2,0.784400,1,-0.164700,0
2023-04-25,sh.600178,5.9257802100,2,0.696900,1,-1.485100,0
2023-04-26,sh.600178,6.0845950900,2,0.619700,1,2.680100,0
